"","X","Table.1","ANZSOC.Division","month","year","ANZSOC.Group","ANZSOC.Subdivision","Area.Unit","Location.Type","Locn.Type.Division","Occurrence.Day.Of.Week","Occurrence.Hour.Of.Day","Territorial.Authority","Weapon","Number.of.Records","Victimisations"
"47",47,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Allandale-Mokorua.",".","Community Location","Monday",15,"Whakatane District.","Not Stated",1,1
"48",48,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Hornby North.",".","Community Location","Monday",99,"Christchurch City.","Not Stated",1,1
"49",49,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Starling Park.",".","Community Location","Monday",18,"Auckland.","Blunt Instrument N.E.C.",1,1
"50",50,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Beerescourt.",".","Community Location","Monday",13,"Hamilton City.","None",1,1
"51",51,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Willis Street-Cambridge Terrace.",".","Community Location","Monday",20,"Wellington City.","None",1,1
"52",52,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Welcome Bay West.",".","Community Location","Monday",8,"Tauranga City.","Not Stated",1,1
"53",53,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Otakaro Park.",".","Community Location","Monday",11,"Invercargill City.","Not Stated",1,1
"54",54,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Roslyn.",".","Community Location","Monday",15,"Palmerston North City.","Not Stated",1,1
"55",55,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Auckland Central East.",".","Community Location","Monday",99,"Auckland.","Not Stated",1,1
"56",56,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Flaxmere East.",".","Community Location","Monday",10,"Hastings District.","Blunt Instrument N.E.C.",1,1
"57",57,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Papatoetoe East.",".","Community Location","Monday",23,"Auckland.","Knife",1,1
"58",58,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","New Plymouth Central.",".","Community Location","Monday",13,"New Plymouth District.","None",1,1
"59",59,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","New Lynn North.",".","Community Location","Monday",17,"Auckland.","None",1,1
"60",60,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Queenstown Hill.",".","Community Location","Monday",23,"Queenstown-Lakes District.","None",1,1
"61",61,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Mt Eden North.",".","Community Location","Monday",10,"Auckland.","Not Stated",1,1
"62",62,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Maramarua.",".","Community Location","Monday",19,"Waikato District.","Not Stated",1,1
"63",63,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Phillipstown.",".","Community Location","Monday",17,"Christchurch City.","Other Weapon",1,1
"64",64,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Marybank-Gordon Park.",".","Community Location","Monday",23,"Wanganui District.","Sharp N.F.D.",1,1
"65",65,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Te Rerenga.",".","Community Location","Saturday",0,"Thames-Coromandel District.","Bottle/Glass",1,1
"66",66,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Herne Bay.",".","Community Location","Saturday",1,"Auckland.","None",1,1
"67",67,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Auckland Central East.",".","Community Location","Saturday",2,"Auckland.","None",1,1
"68",68,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Hamilton Central.",".","Community Location","Saturday",3,"Hamilton City.","None",1,1
"69",69,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Frankton Junction.",".","Community Location","Saturday",8,"Hamilton City.","None",1,1
"70",70,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Marewa.",".","Community Location","Saturday",10,"Napier City.","None",1,1
"71",71,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Riccarton.",".","Community Location","Saturday",14,"Christchurch City.","None",1,1
"72",72,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Bader.",".","Community Location","Saturday",15,"Hamilton City.","None",1,1
"73",73,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Playford Park.",".","Community Location","Saturday",16,"Horowhenua District.","None",1,1
"74",74,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Feb","20","Aggravated Sexual Assault","Sexual Assault","Wakefield.",".","Community Location","UNKNOWN",99,"Tasman District.","Not Stated",1,1
"75",75,"1 Victimisation Time and Place","Sexual Assault and Related Offences","Feb","20","Aggravated Sexual Assault","Sexual Assault","Rangiora North.",".","Community Location","Wednesday",21,"Waimakariri District.","Not Stated",1,1
"76",76,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Common Assault","Assault","Kingdale.",".","Community Location","Saturday",18,"Auckland.","None",1,1
"77",77,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Common Assault","Assault","Hamilton Lake.",".","Community Location","Saturday",19,"Hamilton City.","None",1,1
"78",78,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Common Assault","Assault","Waiwera.",".","Community Location","Saturday",22,"Auckland.","None",1,1
"79",79,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Common Assault","Assault","High St-Stuart St.",".","Community Location","Saturday",23,"Dunedin City.","None",1,1
"80",80,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Common Assault","Assault","Paremoremo East.",".","Community Location","Saturday",99,"Auckland.","None",1,1
"81",81,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Common Assault","Assault","Auckland Central West.",".","Community Location","Saturday",4,"Auckland.","Not Stated",1,1
"82",82,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Common Assault","Assault","Auckland Central East.",".","Community Location","Saturday",99,"Auckland.","Not Stated",1,1
"83",83,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Not Resulting in Injury","Assault","Glenfield Central.",".","Community Location","Saturday",16,"Auckland.","Bludgeon",1,1
"84",84,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Not Resulting in Injury","Assault","Hamilton Lake.",".","Community Location","Saturday",23,"Hamilton City.","Blunt Instrument N.F.D.",1,1
"85",85,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Not Resulting in Injury","Assault","Papakura Central.",".","Community Location","Saturday",13,"Auckland.","None",1,1
"86",86,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Not Resulting in Injury","Assault","Raureka.",".","Community Location","Saturday",16,"Hastings District.","None",1,1
"87",87,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Not Resulting in Injury","Assault","Nelson Park.",".","Community Location","Saturday",18,"Napier City.","None",1,1
"88",88,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Not Resulting in Injury","Assault","Judea.",".","Community Location","Saturday",23,"Tauranga City.","None",1,1
"89",89,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Not Resulting in Injury","Assault","Marewa.",".","Community Location","Saturday",12,"Napier City.","Not Stated",1,1
"90",90,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Not Resulting in Injury","Assault","Papatoetoe Central.",".","Community Location","Saturday",17,"Auckland.","Not Stated",1,1
"91",91,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Not Resulting in Injury","Assault","Weymouth East.",".","Community Location","Saturday",20,"Auckland.","Not Stated",1,1
"92",92,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Resulting in Injury","Assault","Hamilton Central.",".","Community Location","Saturday",0,"Hamilton City.","None",1,1
"93",93,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Resulting in Injury","Assault","Hawera North.",".","Community Location","Saturday",1,"South Taranaki District.","None",1,3
"94",94,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Resulting in Injury","Assault","Mangere Bridge.",".","Community Location","Saturday",4,"Auckland.","None",1,1
"95",95,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Resulting in Injury","Assault","Rongomai.",".","Community Location","Saturday",12,"Auckland.","None",1,1
"96",96,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Resulting in Injury","Assault","Tapawera.",".","Community Location","Saturday",16,"Tasman District.","None",1,1
"97",97,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Resulting in Injury","Assault","999999",".","Community Location","Saturday",20,"Auckland.","None",1,1
"98",98,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Resulting in Injury","Assault","Hutt Central.",".","Community Location","Saturday",0,"Lower Hutt City.","Not Stated",1,1
"99",99,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Jul","20","Serious Assault Resulting in Injury","Assault","Milson.",".","Community Location","Saturday",12,"Palmerston North City.","Not Stated",1,1
"100",100,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Serious Assault Resulting in Injury","Assault","Hillpark.",".","Community Location","Saturday",12,"Auckland.","Not Stated",1,1
"101",101,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Serious Assault Resulting in Injury","Assault","Highfield.",".","Community Location","Saturday",16,"Timaru District.","Not Stated",1,1
"102",102,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Serious Assault Resulting in Injury","Assault","Westown.",".","Community Location","Saturday",21,"New Plymouth District.","Not Stated",1,1
"103",103,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Serious Assault Resulting in Injury","Assault","Owhata West.",".","Community Location","Saturday",22,"Rotorua District.","Other Weapon",1,1
"104",104,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Thorndon-Tinakori Road.",".","Community Location","Sunday",0,"Wellington City.","None",1,1
"105",105,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Islington.",".","Community Location","Sunday",1,"Christchurch City.","None",1,1
"106",106,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Hamilton Central.",".","Community Location","Sunday",2,"Hamilton City.","None",1,1
"107",107,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Auckland Central West.",".","Community Location","Sunday",3,"Auckland.","None",1,1
"108",108,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Palmerston North Central.",".","Community Location","Sunday",3,"Palmerston North City.","None",1,2
"109",109,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Camberley.",".","Community Location","Sunday",6,"Hastings District.","None",1,1
"110",110,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Willis Street-Cambridge Terrace.",".","Community Location","Sunday",8,"Wellington City.","None",1,1
"111",111,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Rewiti.",".","Community Location","Sunday",12,"Auckland.","None",1,1
"112",112,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Kingdale.",".","Community Location","Sunday",14,"Auckland.","None",1,1
"113",113,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Hagley Park.",".","Community Location","Sunday",15,"Christchurch City.","None",1,1
"114",114,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Homedale West.",".","Community Location","Sunday",15,"Lower Hutt City.","None",1,1
"115",115,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Auckland Harbourside.",".","Community Location","Sunday",16,"Auckland.","None",1,1
"116",116,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Thorndon-Tinakori Road.",".","Community Location","Sunday",16,"Wellington City.","None",1,1
"117",117,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Newmarket.",".","Community Location","Sunday",18,"Auckland.","None",1,1
"118",118,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Berhampore East.",".","Community Location","Sunday",19,"Wellington City.","None",1,1
"119",119,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Middlemore.",".","Community Location","Sunday",23,"Auckland.","None",1,1
"120",120,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Kaikoura Township.",".","Community Location","Sunday",2,"Kaikoura District.","Not Stated",1,1
"121",121,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Pakuranga Central.",".","Community Location","Sunday",13,"Auckland.","Not Stated",1,1
"122",122,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Upper Riccarton.",".","Community Location","Sunday",15,"Christchurch City.","Not Stated",1,2
"123",123,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Common Assault","Assault","Queenstown Bay.",".","Community Location","Sunday",2,"Queenstown-Lakes District.","Other Weapon",1,1
"124",124,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Serious Assault Not Resulting in Injury","Assault","Gonville East.",".","Community Location","Sunday",16,"Wanganui District.","Blunt Instrument N.E.C.",1,1
"125",125,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Aug","20","Serious Assault Not Resulting in Injury","Assault","New Plymouth Central.",".","Community Location","Sunday",1,"New Plymouth District.","None",1,2
"126",126,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Wairau South.",".","Community Location","Saturday",18,"Marlborough District.","None",1,1
"127",127,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Russell.",".","Community Location","Saturday",20,"Far North District.","None",1,1
"128",128,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Mangere South.",".","Community Location","Saturday",21,"Auckland.","None",1,1
"129",129,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Gisborne Central.",".","Community Location","Saturday",22,"Gisborne District.","None",1,1
"130",130,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Manukau Central.",".","Community Location","Saturday",23,"Auckland.","None",1,1
"131",131,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Oamaru Central.",".","Community Location","Saturday",23,"Waitaki District.","None",1,1
"132",132,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Kuirau.",".","Community Location","Saturday",99,"Rotorua District.","None",1,1
"133",133,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Willis Street-Cambridge Terrace.",".","Community Location","Saturday",3,"Wellington City.","Not Stated",1,1
"134",134,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Regent.",".","Community Location","Saturday",17,"Whangarei District.","Not Stated",1,1
"135",135,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Berhampore East.",".","Community Location","Saturday",99,"Wellington City.","Not Stated",1,1
"136",136,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Common Assault","Assault","Nelson Park.",".","Community Location","Saturday",21,"Napier City.","Other Weapon",1,1
"137",137,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Naenae North.",".","Community Location","Saturday",2,"Lower Hutt City.","None",1,2
"138",138,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Millhouse.",".","Community Location","Saturday",12,"Auckland.","None",1,1
"139",139,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Bromley.",".","Community Location","Saturday",18,"Christchurch City.","None",1,2
"140",140,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Turangi.",".","Community Location","Saturday",23,"Taupo District.","None",1,2
"141",141,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Porirua Central.",".","Community Location","Saturday",1,"Porirua City.","Not Stated",1,1
"142",142,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Howick Central.",".","Community Location","Saturday",11,"Auckland.","Not Stated",1,1
"143",143,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","999999",".","Community Location","Saturday",14,"Wellington City.","Not Stated",1,2
"144",144,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Hamilton East.",".","Community Location","Saturday",18,"Hamilton City.","Not Stated",1,1
"145",145,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Not Resulting in Injury","Assault","Blueskin.",".","Community Location","Saturday",20,"Wanganui District.","Not Stated",1,2
"146",146,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Pukekohe North.",".","Community Location","Saturday",15,"Auckland.","Blunt Instrument N.F.D.",1,1
"147",147,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Lambton.",".","Community Location","Saturday",99,"Wellington City.","Knife",1,1
"148",148,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Auckland Central West.",".","Community Location","Saturday",1,"Auckland.","None",1,1
"149",149,"1 Victimisation Time and Place","Acts Intended to Cause Injury","Feb","20","Serious Assault Resulting in Injury","Assault","Auckland Central East.",".","Community Location","Saturday",3,"Auckland.","None",1,1
