"type","title","director","date_added","release_year","rating","duration","listed_in"
"Movie","Being Mrs Elliot","Omoni Oboli","December 20, 2019",2014,"TV-14","113 min","Dramas, International Movies, Romantic Movies"
"Movie","Falz Experience","Falz","December 20, 2019",2018,"TV-MA","82 min","International Movies, Music & Musicals"
"Movie","Iyore","Frank Rajah Arase","December 20, 2019",2015,"TV-14","141 min","Dramas, International Movies, Romantic Movies"
"Movie","The First Lady","Omoni Oboli","December 20, 2019",2015,"TV-MA","107 min","Dramas, International Movies"
"Movie","The Two Popes","Fernando Meirelles","December 20, 2019",2019,"PG-13","126 min","Dramas"
NA,"The Witcher","","December 20, 2019",2019,"TV-MA","1 Season","TV Action & Adventure, TV Dramas, TV Mysteries"
"Movie","2036 Origin Unknown","Hasraf Dulull","December 20, 2018",2018,"TV-14","95 min","Sci-Fi & Fantasy"
"Movie","23:59","Gilbert Chan","December 20, 2018",2011,"R","78 min","Horror Movies, International Movies"
"Movie","Aggretsuko: We Wish You a Metal Christmas","Rarecho","December 20, 2018",2018,"TV-PG","22 min","Movies"
NA,"Durarara!!","","December 20, 2018",2016,"TV-14","1 Season","Anime Series, Crime TV Shows, International TV Shows"
"Movie","Imperfect","Steve Cheng","December 20, 2018",2012,"TV-MA","95 min","Action & Adventure, International Movies"
"Movie","Lang Tong","Sam Loh","December 20, 2018",2015,"TV-MA","82 min","International Movies, Thrillers"
"Movie","Miss J Contemplates Her Choice","Jason Lai","December 20, 2018",2014,"TV-MA","89 min","Dramas, International Movies, Thrillers"
"Movie","48 Christmas Wishes","Marco Deufemia, Justin G. Dyck","December 20, 2017",2017,"TV-Y7","84 min","Children & Family Movies, Comedies"
NA,"Dance Academy","","December 20, 2017",2013,"TV-PG","1 Season","International TV Shows, Romantic TV Shows, TV Dramas"
"Movie","Jeremiah Tower: The Last Magnificent","Lydia Tenaglia","December 20, 2017",2016,"R","103 min","Documentaries"
"Movie","A Christmas Special: Miraculous: Tales of Ladybug & Cat Noir","Thomas Astruc","December 20, 2016",2016,"TV-Y7","22 min","Movies"
"Movie","Daemonium","Pablo Parés","December 20, 2016",2015,"NR","115 min","Action & Adventure, Horror Movies, International Movies"
"Movie","Gabriel lglesias: I’m Sorry For What I Said When I Was Hungry","Manny Rodriguez","December 20, 2016",2016,"TV-14","88 min","Stand-Up Comedy"
"Movie","George of the Jungle 2","David Grossman","December 20, 2016",2003,"PG","87 min","Children & Family Movies, Comedies"
"Movie","Leo the Lion","Mario Cambi","December 20, 2015",2013,"TV-Y7-FV","78 min","Children & Family Movies, Comedies"
"Movie","Magic Snowflake","Luc Vinciguerra","December 20, 2015",2013,"TV-Y","73 min","Children & Family Movies"
"Movie","Santa's Apprentice","Luc Vinciguerra","December 20, 2015",2010,"TV-G","72 min","Children & Family Movies"
NA,"Nightflyers","","December 2, 2019",2018,"TV-MA","1 Season","TV Horror, TV Mysteries, TV Sci-Fi & Fantasy"
NA,"Memories of the Alhambra","","December 2, 2018",2018,"TV-14","1 Season","Crime TV Shows, International TV Shows, Korean TV Shows"
"Movie","Teefa in Trouble","Ahsan Rahim","December 2, 2018",2018,"TV-14","155 min","Action & Adventure, Comedies, International Movies"
"Movie","The Lobster","Yorgos Lanthimos","December 2, 2018",2015,"R","119 min","Comedies, International Movies, Romantic Movies"
"Movie","Jab Harry Met Sejal","Imtiaz Ali","December 2, 2017",2017,"TV-14","142 min","Comedies, International Movies, Romantic Movies"
"Movie","Temple","Michael Barrett","December 2, 2017",2017,"TV-MA","78 min","Horror Movies, Independent Movies"
"Movie","For the Love of Spock","Adam Nimoy","December 2, 2016",2016,"TV-14","112 min","Documentaries"
NA,"Pacific Heat","","December 2, 2016",2016,"TV-14","1 Season","Crime TV Shows, TV Comedies"
"Movie","White Girl","Elizabeth Wood","December 2, 2016",2016,"UR","90 min","Dramas, Independent Movies"
"Movie","Yoga Hosers","Kevin Smith","December 2, 2016",2016,"PG-13","88 min","Comedies, Horror Movies, Independent Movies"
NA,"Power Rangers Dino Charge","","December 2, 2015",2015,"TV-Y7","1 Season","Kids' TV"
"Movie","After the Raid","Rodrigo Reyes","December 19, 2019",2019,"TV-PG","25 min","Documentaries, International Movies"
NA,"Twice Upon A Time","","December 19, 2019",2019,"TV-MA","1 Season","International TV Shows, Romantic TV Shows, TV Dramas"
"Movie","Ascharyachakit!","Samit Kakkad","December 19, 2018",2018,"TV-MA","90 min","Dramas, Independent Movies, International Movies"
"Movie","Miss Me This Christmas","Kenny Young","December 19, 2017",2017,"TV-14","85 min","Romantic Movies"
"Movie","Russell Howard: Recalibrate","Peter Orton","December 19, 2017",2017,"TV-MA","69 min","Stand-Up Comedy"
NA,"The Indian Detective","","December 19, 2017",2017,"TV-14","1 Season","Crime TV Shows, International TV Shows, TV Comedies"
"Movie","The Women's Balcony","Emil Ben-Shimon","December 19, 2017",2016,"TV-PG","100 min","Comedies, Dramas, Faith & Spirituality"
"Movie","You Can’t Fight Christmas","Kenny Young","December 19, 2017",2017,"TV-PG","85 min","Comedies, Romantic Movies"
"Movie","Miss Stevens","Julia Hart","December 19, 2016",2016,"NR","86 min","Dramas, Independent Movies"
"Movie","Total Frat Movie","Warren P. Sonoda","December 19, 2016",2016,"NR","94 min","Comedies"
"Movie","BoJack Horseman Christmas Special: Sabrina's Christmas Wish","","December 19, 2014",2014,"TV-MA","26 min","Movies"
NA,"Don't F**k with Cats: Hunting an Internet Killer","Mark Lewis","December 18, 2019",2019,"TV-MA","1 Season","Crime TV Shows, Docuseries"
NA,"Soundtrack","","December 18, 2019",2019,"TV-MA","1 Season","Romantic TV Shows, TV Dramas"
NA,"Ellen DeGeneres: Relatable","Joel Gallen, Tig Notaro","December 18, 2018",2018,"TV-14","1 Season","Stand-Up Comedy & Talk Shows, TV Comedies"
"Movie","The Humanity Bureau","Rob W. King","December 18, 2018",2017,"R","94 min","Action & Adventure, Sci-Fi & Fantasy"
"Movie","Some Freaks","Ian MacAllister-McDonald","December 18, 2017",2017,"TV-MA","97 min","Dramas, Romantic Movies"
"Movie","Mike Epps: Don't Take It Personal","L. Frazier","December 18, 2015",2015,"TV-MA","60 min","Stand-Up Comedy"
"Movie","Pee-wee's Playhouse: Christmas Special","Paul Reubens, Wayne Orr","December 18, 2014",1988,"TV-PG","48 min","Movies"
"Movie","Ronny Chieng: Asian Comedian Destroys America!","Sebastian DiNatale","December 17, 2019",2019,"TV-MA","63 min","Stand-Up Comedy"
"Movie","Lilli","Prasobh Vijayan","December 17, 2018",2018,"TV-MA","85 min","Dramas, International Movies, Thrillers"
"Movie","Prince of Peoria: A Christmas Moose Miracle","Jon Rosenbaum","December 17, 2018",2018,"TV-Y7","29 min","Children & Family Movies, Comedies"
"Movie","Skin Trade","Ekachai Uekrongtham","December 17, 2018",2014,"R","96 min","Action & Adventure"
"Movie","Bob's Broken Sleigh","Jay Surridge","December 17, 2015",2015,"TV-G","47 min","Children & Family Movies"
"Movie","My Little Pony Equestria Girls: Rainbow Rocks","Jayson Thiessen, Ishi Rudell","December 17, 2014",2014,"TV-Y","73 min","Children & Family Movies, Comedies"
"Movie","Burlesque","Steve Antin","December 16, 2019",2010,"PG-13","119 min","Dramas, Romantic Movies"
"Movie","Sincerely Yours, Dhaka","Nuhash Humayun, Syed Ahmed Shawki, Rahat Rahman, Robiul Alam Robi, Golam Kibria Farooki, Mir Mukarram Hossain, Tanvir Ahsan, Mahmudul Islam, Abdullah Al Noor, Krishnendu Chattopadhyay, Syed Saleh Ahmed Sobhan","December 16, 2019",2018,"TV-MA","136 min","Comedies, Dramas, Independent Movies"
"Movie","The Danish Girl","Tom Hooper","December 16, 2019",2015,"R","120 min","Dramas, International Movies, LGBTQ Movies"
"Movie","American Circumcision","Brendon Marotta","December 16, 2018",2017,"TV-14","101 min","Documentaries"
"Movie","Andhadhun","Sriram Raghavan","December 16, 2018",2018,"TV-14","137 min","Comedies, Dramas, International Movies"
NA,"Ashes of Love","","December 16, 2018",2018,"TV-PG","1 Season","International TV Shows, Romantic TV Shows, TV Comedies"
"Movie","Dragons: Dawn of the Dragon Racers","Elaine Bogan, John Sanford","December 16, 2018",2014,"TV-PG","27 min","Children & Family Movies, Comedies"
NA,"DreamWorks Holiday Classics","","December 16, 2018",2011,"TV-PG","1 Season","Kids' TV, TV Comedies"
"Movie","Kill the Messenger","Michael Cuesta","December 16, 2018",2014,"R","112 min","Dramas, Thrillers"
"Movie","Maps to the Stars","David Cronenberg","December 16, 2018",2014,"R","112 min","Comedies, Dramas"
"Movie","One Day","Lone Scherfig","December 16, 2018",2011,"PG-13","107 min","Dramas, Romantic Movies"
"Movie","Springsteen on Broadway","Thom Zimny","December 16, 2018",2018,"TV-MA","153 min","Music & Musicals"
"Movie","The Theory of Everything","James Marsh","December 16, 2018",2014,"PG-13","123 min","Dramas, Romantic Movies"
"Movie","God of War","Gordon Chan","December 16, 2017",2017,"NR","129 min","Action & Adventure, International Movies"
NA,"Stoked","","December 16, 2017",2010,"TV-PG","1 Season","Kids' TV"
"Movie","Barry","Vikram Gandhi","December 16, 2016",2016,"TV-MA","105 min","Dramas"
NA,"Call Me Francis","","December 16, 2016",2016,"TV-14","1 Season","International TV Shows, Spanish-Language TV Shows, TV Dramas"
NA,"Crazyhead","","December 16, 2016",2016,"TV-MA","1 Season","British TV Shows, International TV Shows, TV Comedies"
"Movie","Rats","Morgan Spurlock","December 16, 2016",2016,"NR","88 min","Documentaries"
"Movie","Sister Cities","Sean Hanish","December 16, 2016",2016,"TV-MA","88 min","Dramas"
"Movie","Theo Who Lived","David Shisgall","December 16, 2016",2016,"TV-14","86 min","Documentaries"
"Movie","A Family Man","Mark Williams","December 15, 2019",2016,"R","110 min","Dramas"
"Movie","Bangistan","Karan Anshuman","December 15, 2019",2015,"TV-14","134 min","Comedies, Dramas, International Movies"
NA,"Cinderella and the Four Knights","","December 15, 2019",2016,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows"
NA,"Crash Landing on You","","December 15, 2019",2019,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows"
NA,"Crazy, Lovely, Cool","Obi Emelonye","December 15, 2019",2018,"TV-MA","1 Season","International TV Shows, TV Dramas"
"Movie","Dil Chahta Hai","Farhan Akhtar","December 15, 2019",2001,"TV-14","185 min","Comedies, Dramas, International Movies"
"Movie","Dil Dhadakne Do","Zoya Akhtar","December 15, 2019",2015,"TV-14","174 min","Comedies, Dramas, International Movies"
"Movie","Don","Farhan Akhtar","December 15, 2019",2006,"TV-MA","169 min","Action & Adventure, International Movies"
"Movie","Don 2","Farhan Akhtar","December 15, 2019",2011,"TV-14","148 min","Action & Adventure, International Movies, Music & Musicals"
"Movie","Fukrey","Mrighdeep Singh Lamba","December 15, 2019",2013,"TV-14","135 min","Action & Adventure, Comedies, Dramas"
"Movie","Game","Abhinay Deo","December 15, 2019",2011,"TV-MA","135 min","International Movies, Thrillers"
NA,"Girls und Panzer","Tsutomu Mizushima","December 15, 2019",2012,"TV-14","1 Season","Anime Series, International TV Shows"
"Movie","Holy Expectations","Fernando Ayllón","December 15, 2019",2019,"TV-PG","89 min","Children & Family Movies, Comedies, International Movies"
"Movie","Honeymoon Travels Pvt. Ltd.","Reema Kagti","December 15, 2019",2007,"TV-14","119 min","Comedies, Dramas, International Movies"
"Movie","Hope: One in a Billion","Brodje Wemboendja","December 15, 2019",2017,"TV-14","81 min","Documentaries, International Movies, Sports Movies"
"Movie","Isoken","Jadesola Osiberu","December 15, 2019",2017,"TV-14","98 min","Comedies, International Movies, Romantic Movies"
"Movie","Karthik Calling Karthik","Vijay Lalwani","December 15, 2019",2010,"TV-14","135 min","Dramas, International Movies, Thrillers"
"Movie","Lakshya","Farhan Akhtar","December 15, 2019",2004,"TV-14","185 min","Action & Adventure, Dramas, International Movies"
"Movie","Luck by Chance","Zoya Akhtar","December 15, 2019",2009,"TV-14","156 min","Dramas, International Movies, Romantic Movies"
"Movie","Potato Potahto","Shirley Frimpong-Manso","December 15, 2019",2017,"TV-MA","104 min","Comedies, Dramas, International Movies"
"Movie","Rock On!!","Abhishek Kapoor","December 15, 2019",2008,"TV-14","139 min","Dramas, International Movies, Music & Musicals"
"Movie","Scooby-Doo on Zombie Island","Hiroshi Aoyama, Kazumi Fukushima, Jim Stenstrum","December 15, 2019",1998,"TV-PG","77 min","Children & Family Movies"
NA,"Sym-Bionic Titan","","December 15, 2019",2010,"TV-PG","1 Season","Kids' TV"
"Movie","Talaash","Reema Kagti","December 15, 2019",2012,"TV-MA","140 min","Dramas, International Movies, Thrillers"
"Movie","Tom and Jerry: The Magic Ring","Phil Roman","December 15, 2019",2001,"TV-Y7","60 min","Children & Family Movies, Comedies"
"Movie","Underdogs","Téo Frank","December 15, 2019",2018,"TV-MA","65 min","Documentaries, International Movies, Music & Musicals"
"Movie","Zindagi Na Milegi Dobara","Zoya Akhtar","December 15, 2019",2011,"TV-PG","154 min","Comedies, Dramas, International Movies"
NA,"Anjaan: Rural Myths","","December 15, 2018",2018,"TV-14","1 Season","International TV Shows, TV Horror, TV Thrillers"
NA,"Emogenius","","December 15, 2018",2017,"TV-PG","1 Season","Reality TV"
"Movie","F.R.E.D.I.","Sean Olson","December 15, 2018",2018,"TV-PG","90 min","Children & Family Movies, Sci-Fi & Fantasy"
NA,"Idiotest","","December 15, 2018",2014,"TV-PG","1 Season","Reality TV, TV Comedies"
"Movie","Kita Kita","Sigrid Andrea Bernardo","December 15, 2018",2017,"TV-PG","84 min","International Movies, Romantic Movies"
NA,"Minute to Win It","","December 15, 2018",2013,"TV-PG","1 Season","Reality TV"
"Movie","Once in a Lifetime Sessions with George Ezra","","December 15, 2018",2018,"TV-14","78 min","Documentaries, Music & Musicals"
"Movie","Once in a Lifetime Sessions with Kasabian","Matt Askem","December 15, 2018",2018,"TV-MA","79 min","Documentaries, Music & Musicals"
"Movie","Once in a Lifetime Sessions with OneRepublic","","December 15, 2018",2018,"TV-PG","73 min","Documentaries, Music & Musicals"
"Movie","Once in a Lifetime Sessions with Snow Patrol","Matt Askem","December 15, 2018",2018,"TV-MA","83 min","Documentaries, Music & Musicals"
"Movie","Sad Hill Unearthed","Guillermo de Oliveira","December 15, 2018",2017,"TV-14","83 min","Documentaries, International Movies"
NA,"Skin Wars: Fresh Paint","","December 15, 2018",2016,"TV-14","1 Season","Reality TV"
"Movie","The Bad Education Movie","Elliot Hegarty","December 15, 2018",2015,"TV-MA","87 min","Comedies"
"Movie","Vanjagar Ulagam","Manoj Beedha","December 15, 2018",2018,"TV-MA","145 min","Dramas, International Movies, Thrillers"
NA,"Winsanity","","December 15, 2018",2016,"TV-G","1 Season","Reality TV"
"Movie","1920","Vikram Bhatt","December 15, 2017",2008,"TV-MA","143 min","Horror Movies, International Movies, Thrillers"
NA,"A.D. Kingdom and Empire","","December 15, 2017",2015,"TV-14","1 Season","TV Dramas"
NA,"Beyblade: Metal Fusion","","December 15, 2017",2009,"TV-Y7","1 Season","Anime Series, Kids' TV"
NA,"Black","","December 15, 2017",2017,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Korean TV Shows"
"Movie","Blackway","Daniel Alfredson","December 15, 2017",2015,"PG-13","90 min","Thrillers"
"Movie","Brave New Jersey","Jody Lambert","December 15, 2017",2016,"TV-MA","92 min","Comedies, Independent Movies"
"Movie","Breaking Free","Sridhar Rangayan","December 15, 2017",2015,"TV-MA","81 min","Documentaries, International Movies, LGBTQ Movies"
NA,"Cheuk Wan-Chi: Two Night Stand","","December 15, 2017",2015,"TV-MA","1 Season","International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies"
"Movie","Christmas Inheritance","Ernie Barbarash","December 15, 2017",2017,"TV-PG","105 min","Dramas, International Movies, Romantic Movies"
"Movie","Dark Chocolate (Bengali Version)","Agnidev Chatterjee","December 15, 2017",2016,"TV-MA","91 min","Dramas, International Movies, Thrillers"
"Movie","Discovering Bigfoot","Todd Standing","December 15, 2017",2017,"TV-MA","111 min","Documentaries"
NA,"Erased","","December 15, 2017",2017,"TV-14","1 Season","International TV Shows, TV Dramas, TV Mysteries"
"Movie","Freeway: Crack in the System","Marc Levin","December 15, 2017",2015,"R","103 min","Documentaries"
"Movie","Gelo","Manbhavan Singh","December 15, 2017",2016,"TV-MA","118 min","Dramas, International Movies"
"Movie","Kabali (Hindi Version)","Pa. Ranjith","December 15, 2017",2016,"TV-MA","148 min","Action & Adventure, Dramas, International Movies"
"Movie","Los Niños Héroes de Chapultepec","Ignacio López Escrivá","December 15, 2017",2017,"TV-14","88 min","Documentaries, International Movies"
"Movie","Mantostaan","Rahat Kazmi","December 15, 2017",2017,"TV-MA","75 min","Dramas, Independent Movies, International Movies"
"Movie","Mantra","Nicholas Kharkongor","December 15, 2017",2017,"TV-14","89 min","Dramas, Independent Movies, International Movies"
"Movie","Muramba","Varun Narvekar","December 15, 2017",2017,"TV-14","128 min","Comedies, Dramas, International Movies"
"Movie","Pottersville","Seth Henrikson","December 15, 2017",2017,"PG-13","86 min","Comedies, Independent Movies"
"Movie","Rise of the Zombie","Devaki Singh, Luke Kenny","December 15, 2017",2013,"TV-MA","83 min","Horror Movies, International Movies"
"Movie","Seoul Searching","Benson Lee","December 15, 2017",2015,"TV-MA","109 min","Comedies, Dramas, International Movies"
"Movie","Sexo, Pudor y Lagrimas","Antonio Serrano","December 15, 2017",1999,"R","111 min","Comedies, Dramas, International Movies"
"Movie","Under an Arctic Sky","Chris Burkard","December 15, 2017",2017,"TV-14","40 min","Action & Adventure, Documentaries, Sports Movies"
NA,"Wormwood","","December 15, 2017",2017,"TV-14","1 Season","Crime TV Shows, Docuseries"
"Movie","3 Türken & ein Baby","Sinan Akkuş","December 15, 2016",2015,"NR","93 min","Comedies, International Movies"
NA,"Cannabis","","December 15, 2016",2016,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas"
NA,"Color of Woman","","December 15, 2016",2012,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows"
"Movie","Eddie - Strongman","Matt Bell","December 15, 2016",2015,"TV-14","98 min","Documentaries, Sports Movies"
"Movie","Famous in Ahmedabad","Hardik Mehta","December 15, 2016",2015,"TV-14","29 min","Documentaries, International Movies"
NA,"Goodbye My Wife","","December 15, 2016",2012,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows"
NA,"Happy And","","December 15, 2016",2012,"TV-14","1 Season","International TV Shows, Korean TV Shows, TV Dramas"
NA,"Heaven's Garden","","December 15, 2016",2011,"TV-PG","1 Season","International TV Shows, Korean TV Shows, TV Dramas"
NA,"Humsafar","","December 15, 2016",2011,"TV-14","1 Season","International TV Shows, Romantic TV Shows, TV Dramas"
NA,"Ice Fantasy","","December 15, 2016",2016,"TV-14","1 Season","International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy"
NA,"Immortal Classic","","December 15, 2016",2012,"TV-14","1 Season","International TV Shows, Korean TV Shows, TV Dramas"
NA,"K-POP Extreme Survival","","December 15, 2016",2012,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows"
NA,"Miss Panda & Mr. Hedgehog","","December 15, 2016",2012,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows"
NA,"Sadqay Tumhare","Ehtesham Uddin","December 15, 2016",2014,"TV-PG","1 Season","International TV Shows, Romantic TV Shows, TV Dramas"
"Movie","Sand Storm","Elite Zexer","December 15, 2016",2016,"TV-PG","88 min","Dramas, Independent Movies, International Movies"
NA,"Zindagi Gulzar Hai","","December 15, 2016",2012,"TV-PG","1 Season","International TV Shows, Romantic TV Shows, TV Dramas"
"Movie","Zoom","Pedro Morelli","December 15, 2016",2015,"NR","93 min","Comedies, Dramas, Independent Movies"
"Movie","The Monster of Mangatiti","John Banas","December 15, 2015",2015,"TV-MA","70 min","Dramas"
"Movie","This Was Tomorrow","Wim Bonte","December 15, 2015",2015,"NR","77 min","Documentaries, International Movies, Music & Musicals"
NA,"Hymn of Death","","December 14, 2018",2018,"TV-14","1 Season","International TV Shows, Korean TV Shows, Romantic TV Shows"
NA,"Inside the Real Narcos","","December 14, 2018",2018,"TV-MA","1 Season","British TV Shows, Crime TV Shows, Docuseries"
"Movie","ROMA","Alfonso Cuarón","December 14, 2018",2018,"R","135 min","Dramas, Independent Movies, International Movies"
"Movie","Samson","Bruce MacDonald, Gabriel Sabloff","December 14, 2018",2018,"PG-13","109 min","Action & Adventure, Dramas, Faith & Spirituality"
NA,"Sunderland 'Til I Die","","December 14, 2018",2018,"TV-MA","1 Season","British TV Shows, Docuseries, International TV Shows"
NA,"The Fix","","December 14, 2018",2018,"TV-MA","1 Season","TV Comedies"
NA,"The Innocent Man","","December 14, 2018",2018,"TV-MA","1 Season","Crime TV Shows, Docuseries"
NA,"Tidelands","","December 14, 2018",2018,"TV-MA","1 Season","Crime TV Shows, International TV Shows, TV Dramas"
"Movie","At All Costs","Mike Nicoll","December 14, 2016",2016,"TV-MA","81 min","Documentaries, Sports Movies"
"Movie","6 Underground","Michael Bay","December 13, 2019",2019,"R","129 min","Action & Adventure, Dramas"
"Movie","A Trip to Jamaica","Robert O. Peters","December 13, 2019",2016,"TV-MA","99 min","Comedies, International Movies"
"Movie","My Wife and I","Bunmi Ajakaiye","December 13, 2019",2017,"TV-MA","100 min","Comedies, International Movies, Romantic Movies"
"Movie","Okafor's Law","Omoni Oboli","December 13, 2019",2016,"TV-MA","110 min","Comedies, International Movies, Romantic Movies"
"Movie","Seven and a half dates","Biodun Stephen","December 13, 2019",2018,"TV-14","107 min","Dramas, International Movies, Romantic Movies"
"Movie","Silent Hill: Revelation","M.J. Bassett","December 13, 2019",2012,"R","94 min","Horror Movies"
"Movie","The 9th Precinct","Ding-Lin Wang","December 13, 2019",2019,"TV-14","95 min","International Movies, Thrillers"
"Movie","Zero Hour","Robert O. Peters","December 13, 2019",2018,"TV-14","89 min","International Movies, Thrillers"
NA,"Tokyo Trial","","December 13, 2016",2017,"TV-14","1 Season","International TV Shows, TV Dramas"
"Movie","Jack Whitehall: Christmas with My Father","Richard van't Riet","December 12, 2019",2019,"TV-MA","65 min","Stand-Up Comedy"
NA,"Back Street Girls -GOKUDOLS-","","December 12, 2018",2018,"TV-MA","1 Season","Anime Series, International TV Shows"
"Movie","Out of Many, One","John Hoffman, Nanfu Wang","December 12, 2018",2018,"TV-PG","35 min","Documentaries"
"Movie","Judd Apatow: The Return","Marcus Raboy","December 12, 2017",2017,"TV-MA","70 min","Stand-Up Comedy"
"Movie","The Trip to Spain","Michael Winterbottom","December 12, 2017",2016,"TV-MA","108 min","Comedies"
"Movie","The Unknown Girl","Jean-Pierre Dardenne, Luc Dardenne","December 12, 2017",2016,"TV-MA","106 min","Dramas, International Movies"
